trial,sequence,B_true,B_estimated,abs_error
0,Ramsey,1.0,9.367000807591117,8.367000807591117
0,Hahn Echo,1.0,7.83047211447667,6.83047211447667
0,CPMG-2,1.0,2.0782394868902543,1.0782394868902543
0,CPMG-4,1.0,8.525248920165406,7.5252489201654065
0,CPMG-8,1.0,70.72595344320821,69.72595344320821
1,Ramsey,1.0,13.058498133115126,12.058498133115126
1,Hahn Echo,1.0,3.5299672984479873,2.5299672984479873
1,CPMG-2,1.0,1.1228782374928719,0.12287823749287186
1,CPMG-4,1.0,14.764547685556504,13.764547685556504
1,CPMG-8,1.0,41.54862625544536,40.54862625544536
2,Ramsey,1.0,6.0139160087975325,5.0139160087975325
2,Hahn Echo,1.0,2.7903077605537208,1.7903077605537208
2,CPMG-2,1.0,0.4665706393531747,0.5334293606468252
2,CPMG-4,1.0,0.5462184522760808,0.4537815477239192
2,CPMG-8,1.0,81.38913364109546,80.38913364109546
3,Ramsey,1.0,4.627448598868214,3.627448598868214
3,Hahn Echo,1.0,2.1467075386898973,1.1467075386898973
3,CPMG-2,1.0,1.16753806537632,0.1675380653763201
3,CPMG-4,1.0,5.749840287146156,4.749840287146156
3,CPMG-8,1.0,69.3014575419505,68.3014575419505
4,Ramsey,1.0,8.756841896515567,7.756841896515567
4,Hahn Echo,1.0,2.769118110034348,1.769118110034348
4,CPMG-2,1.0,3.050518366670663,2.050518366670663
4,CPMG-4,1.0,11.366061765890466,10.366061765890466
4,CPMG-8,1.0,70.73227581166822,69.73227581166822
5,Ramsey,1.0,2.8376193262422484,1.8376193262422484
5,Hahn Echo,1.0,2.834971093005109,1.8349710930051089
5,CPMG-2,1.0,0.7860728515024432,0.21392714849755678
5,CPMG-4,1.0,18.50448912393895,17.50448912393895
5,CPMG-8,1.0,32.4548605036565,31.454860503656498
6,Ramsey,1.0,3.4429682911195787,2.4429682911195787
6,Hahn Echo,1.0,6.131808043343512,5.131808043343512
6,CPMG-2,1.0,1.2680215221917406,0.2680215221917406
6,CPMG-4,1.0,16.662747443805806,15.662747443805806
6,CPMG-8,1.0,33.362542751048665,32.362542751048665
7,Ramsey,1.0,6.7517627521224055,5.7517627521224055
7,Hahn Echo,1.0,7.524001034462456,6.524001034462456
7,CPMG-2,1.0,2.5024136689588787,1.5024136689588787
7,CPMG-4,1.0,12.669494727237163,11.669494727237163
7,CPMG-8,1.0,94.72564080554967,93.72564080554967
8,Ramsey,1.0,7.4650918938793165,6.4650918938793165
8,Hahn Echo,1.0,3.4728992702553874,2.4728992702553874
8,CPMG-2,1.0,2.644589129641335,1.6445891296413349
8,CPMG-4,1.0,13.825971152068977,12.825971152068977
8,CPMG-8,1.0,24.109718032227676,23.109718032227676
9,Ramsey,1.0,5.264391747741936,4.264391747741936
9,Hahn Echo,1.0,1.6153301028459597,0.6153301028459597
9,CPMG-2,1.0,0.9576052980916266,0.042394701908373356
9,CPMG-4,1.0,8.737164026251893,7.737164026251893
9,CPMG-8,1.0,106.31587682004631,105.31587682004631
10,Ramsey,1.0,9.74634100002351,8.74634100002351
10,Hahn Echo,1.0,2.6185273011705177,1.6185273011705177
10,CPMG-2,1.0,1.7570738237165173,0.7570738237165173
10,CPMG-4,1.0,14.54293549523116,13.54293549523116
10,CPMG-8,1.0,125.58454393722036,124.58454393722036
11,Ramsey,1.0,13.295532500516613,12.295532500516613
11,Hahn Echo,1.0,2.7333548931683667,1.7333548931683667
11,CPMG-2,1.0,2.6818262076973256,1.6818262076973256
11,CPMG-4,1.0,20.795549449824698,19.795549449824698
11,CPMG-8,1.0,86.68523991374958,85.68523991374958
12,Ramsey,1.0,4.055753793437107,3.0557537934371073
12,Hahn Echo,1.0,6.297339262460619,5.297339262460619
12,CPMG-2,1.0,0.8198089545662746,0.18019104543372544
12,CPMG-4,1.0,3.217295051157437,2.217295051157437
12,CPMG-8,1.0,87.50801779301543,86.50801779301543
13,Ramsey,1.0,7.203363787332218,6.203363787332218
13,Hahn Echo,1.0,3.837490775158714,2.837490775158714
13,CPMG-2,1.0,1.124441201559484,0.12444120155948402
13,CPMG-4,1.0,12.3081603060427,11.3081603060427
13,CPMG-8,1.0,53.45722416774579,52.45722416774579
14,Ramsey,1.0,7.484074681020568,6.484074681020568
14,Hahn Echo,1.0,2.55475155806992,1.55475155806992
14,CPMG-2,1.0,1.1168736871198368,0.11687368711983681
14,CPMG-4,1.0,30.289308954024474,29.289308954024474
14,CPMG-8,1.0,89.73985055476585,88.73985055476585
15,Ramsey,1.0,11.345870839534925,10.345870839534925
15,Hahn Echo,1.0,4.287612683931108,3.2876126839311084
15,CPMG-2,1.0,2.788742158809684,1.7887421588096841
15,CPMG-4,1.0,21.3925768834714,20.3925768834714
15,CPMG-8,1.0,87.50035805644372,86.50035805644372
16,Ramsey,1.0,7.666161641524454,6.666161641524454
16,Hahn Echo,1.0,6.261988504768957,5.261988504768957
16,CPMG-2,1.0,2.3207504814562565,1.3207504814562565
